	ALL			Day 0			Day 1			
	ALL	Light	Dark	ALL	Light	Dark	ALL	Light	Dark	
Start Time	12/20/2024 05:20:39 PM	12/20/2024 05:20:39 PM	12/20/2024 07:00:09 PM	12/20/2024 05:20:39 PM	12/20/2024 05:20:39 PM	12/20/2024 07:00:09 PM	12/21/2024 11:37:09 AM	12/21/2024 11:37:09 AM	No Data	
End Time	12/21/2024 05:20:39 PM	12/21/2024 05:20:39 PM	12/21/2024 07:00:09 AM	12/21/2024 11:37:09 AM	12/21/2024 11:37:09 AM	12/21/2024 07:00:09 AM	12/21/2024 05:20:39 PM	12/21/2024 05:20:39 PM	No Data	
Duration (min)	1440.00	1440.00	720.00	1096.50	1096.50	720.00	343.50	343.50	0.00	
Sleep Analysis	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	
REM (Epochs)	504	398	106	300	194	106	204	204	0	
Non REM (Epochs)	2929	2152	777	1851	1074	777	1078	1078	0	
Wake (Epochs)	4960	1604	3356	4233	877	3356	727	727	0	
Other (Epochs)	0	0	0	0	0	0	0	0	0	
Other Sleep (Epochs)	247	166	81	195	114	81	52	52	0	
Sleep (Epochs)	3680	2716	964	2346	1382	964	1334	1334	0	
REM (Minutes)	84	66.33	17.67	50	32.33	17.67	34	34	0	
Non REM (Minutes)	488.2	358.7	129.5	308.5	179	129.5	179.7	179.7	0	
Wake (Minutes)	826.7	267.3	559.3	705.5	146.2	559.3	121.2	121.2	0	
Other (Minutes)	0	0	0	0	0	0	0	0	0	
Other Sleep (Minutes)	41.17	27.67	13.5	32.5	19	13.5	8.667	8.667	0	
Sleep (Minutes)	613.3	452.7	160.7	391	230.3	160.7	222.3	222.3	0	
REM (%)	5.833	9.213	2.454	4.56	8.588	2.454	9.898	9.898	nan	
Non REM (%)	33.9	49.81	17.99	28.13	47.54	17.99	52.3	52.3	nan	
Wake (%)	57.41	37.13	77.69	64.34	38.82	77.69	35.27	35.27	nan	
Other (%)	0	0	0	0	0	0	0	0	nan	
Other Sleep (%)	2.859	3.843	1.875	2.964	5.046	1.875	2.523	2.523	nan	
Sleep (%)	42.59	62.87	22.31	35.66	61.18	22.31	64.73	64.73	nan	
Bouts	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	-----------	
Wake Count	61	43	18	38	38	18	23	23	0	
Non REM Count	110	82	28	67	67	28	43	43	0	
REM Count	66	49	17	43	43	17	23	23	0	
Sleep Count	61	43	18	38	38	18	23	23	0	
Wake Length	805.41	807.209	801.111	1121.05	1121.05	801.111	283.913	283.913	0	
Non REM Length	287.636	281.707	305	303.731	303.731	305	262.558	262.558	0	
REM Length	76.0606	80.8163	62.3529	69.5349	69.5349	62.3529	88.2609	88.2609	0	
Sleep Length	610.984	640.233	541.111	625	625	541.111	587.826	587.826	0	
Wake Arousals	0	0	0	0	0	0	0	0	0	
Non REM Arousals	3	3	0	1	1	0	2	2	0	
REM Arousals	0	0	0	0	0	0	0	0	0	
Sleep Arousals	48	38	10	29	29	10	19	19	0	
Wake Stage Shifts	2	2	0	0	0	0	2	2	0	
Non REM Stage Shifts	487	329	158	381	381	158	106	106	0	
REM Stage Shifts	0	0	0	0	0	0	0	0	0	
Sleep Stage Shifts	96	76	20	58	58	20	38	38	0	
Total Stage Shifts	786	551	235	569	334	235	217	217	0	

-------------------------------------------------
  All Bouts 
-------------------------------------------------
Start Epoch	Start Time	Score Number	Score Name	Length	Arousals	Stage Shifts
2	12/20/24 17:20:59	2	Non REM	100.000000	0	0
12	12/20/24 17:22:39	3	REM	20.000000	0	0
14	12/20/24 17:22:59	1	Wake	20.000000	0	0
16	12/20/24 17:23:19	2	Non REM	200.000000	0	4
36	12/20/24 17:26:39	3	REM	100.000000	0	0
47	12/20/24 17:28:29	2	Non REM	540.000000	0	18
101	12/20/24 17:37:29	3	REM	20.000000	0	0
104	12/20/24 17:37:59	2	Non REM	190.000000	0	6
123	12/20/24 17:41:09	3	REM	80.000000	0	0
131	12/20/24 17:42:29	1	Wake	40.000000	0	0
135	12/20/24 17:43:09	2	Non REM	480.000000	0	14
183	12/20/24 17:51:09	3	REM	100.000000	0	0
194	12/20/24 17:52:59	2	Non REM	60.000000	0	2
200	12/20/24 17:53:59	1	Wake	300.000000	0	0
232	12/20/24 17:59:19	2	Non REM	350.000000	0	10
267	12/20/24 18:05:09	3	REM	70.000000	0	0
278	12/20/24 18:06:59	2	Non REM	490.000000	0	20
327	12/20/24 18:15:09	1	Wake	23080.000000	0	0
2635	12/21/24 00:39:49	2	Non REM	700.000000	0	16
2705	12/21/24 00:51:29	1	Wake	50.000000	0	0
2710	12/21/24 00:52:19	2	Non REM	220.000000	0	4
2732	12/21/24 00:55:59	3	REM	20.000000	0	0
2735	12/21/24 00:56:29	2	Non REM	30.000000	0	0
2738	12/21/24 00:56:59	3	REM	20.000000	0	0
2740	12/21/24 00:57:19	1	Wake	20.000000	0	0
2742	12/21/24 00:57:39	2	Non REM	340.000000	0	8
2776	12/21/24 01:03:19	3	REM	20.000000	0	0
2778	12/21/24 01:03:39	1	Wake	120.000000	0	0
2790	12/21/24 01:05:39	2	Non REM	250.000000	0	2
2815	12/21/24 01:09:49	3	REM	40.000000	0	0
2819	12/21/24 01:10:29	1	Wake	30.000000	0	0
2822	12/21/24 01:10:59	2	Non REM	230.000000	0	4
2845	12/21/24 01:14:49	3	REM	70.000000	0	0
2853	12/21/24 01:16:09	2	Non REM	180.000000	0	10
2871	12/21/24 01:19:09	1	Wake	4250.000000	0	0
3296	12/21/24 02:29:59	2	Non REM	20.000000	0	0
3298	12/21/24 02:30:19	1	Wake	460.000000	0	0
3344	12/21/24 02:37:59	2	Non REM	950.000000	0	20
3439	12/21/24 02:53:49	3	REM	120.000000	0	0
3452	12/21/24 02:55:59	2	Non REM	330.000000	0	4
3485	12/21/24 03:01:29	1	Wake	40.000000	0	0
3489	12/21/24 03:02:09	2	Non REM	740.000000	0	12
3563	12/21/24 03:14:29	1	Wake	20.000000	0	0
3565	12/21/24 03:14:49	2	Non REM	150.000000	0	4
3580	12/21/24 03:17:19	3	REM	90.000000	0	0
3590	12/21/24 03:18:59	2	Non REM	460.000000	0	10
3636	12/21/24 03:26:39	3	REM	170.000000	0	0
3653	12/21/24 03:29:29	1	Wake	3180.000000	0	0
3971	12/21/24 04:22:29	2	Non REM	60.000000	0	0
3977	12/21/24 04:23:29	1	Wake	20.000000	0	0
3979	12/21/24 04:23:49	2	Non REM	690.000000	0	18
4048	12/21/24 04:35:19	3	REM	20.000000	0	0
4050	12/21/24 04:35:39	1	Wake	80.000000	0	0
4058	12/21/24 04:36:59	2	Non REM	240.000000	0	0
4082	12/21/24 04:40:59	1	Wake	20.000000	0	0
4084	12/21/24 04:41:19	2	Non REM	110.000000	0	0
4095	12/21/24 04:43:09	3	REM	90.000000	0	0
4105	12/21/24 04:44:49	2	Non REM	490.000000	0	14
4154	12/21/24 04:52:59	3	REM	20.000000	0	0
